Date;Year;Month;Candy Bars Total Brands;Candy Bar Brand 1;Candy Bar Brand 2;Candy Bar Brand 3;Candy Bar Brand 3.1;Candy Bar Brand 3 Complete;Share Brand 1;Share Brand 2;Share Brand 3;Brand 1 Growth;Brand 2 Growth;Brand 3 Growth
2014-01-01;2014;Jan;4400.91;3197.28;464.52;739.11;;739.11;73;11;17;;;
2014-02-01;2014;Feb;10960.2;8068.4;1675.21;1216.58;;1216.58;74;15;11;1.52352;2.60632;0.646
2014-03-01;2014;Mar;11331.9;7565.4;2102.55;1663.96;;1663.96;67;19;15;-0.0623416;0.255094;0.367739
2014-04-01;2014;Apr;7681.35;4640.9;1863.57;1176.88;;1176.88;60;24;15;-0.386562;-0.113663;-0.292722
2014-05-01;2014;May;8929.69;4871.5;2594.54;1463.64;;1463.64;55;29;16;0.0496879;0.392247;0.243661
2014-06-01;2014;Jun;8160.24;4481.36;2273.97;1404.92;;1404.92;55;28;17;-0.0800868;-0.123559;-0.0401228
2014-07-01;2014;Jul;9281.5;5434.26;2534.04;1313.19;;1313.19;59;27;14;0.212637;0.114371;-0.0652858
2014-08-01;2014;Aug;9869.82;5937.62;2484.58;1447.62;;1447.62;60;25;15;0.0926272;-0.0195195;0.102363
2014-09-01;2014;Sep;11013.3;6983.23;2455.96;1574.15;;1574.15;63;22;14;0.176099;-0.0115203;0.0874107
2014-10-01;2014;Oct;11674.1;7642.15;2347.57;1684.39;;1684.39;65;20;14;0.0943573;-0.0441319;0.07003
2014-11-01;2014;Nov;11858.3;8142.38;2231.35;1484.55;;1484.55;69;19;13;0.0654566;-0.0495059;-0.118644
2014-12-01;2014;Dec;9774.63;6603.03;2074.73;1096.86;;1096.86;68;21;11;-0.189053;-0.0701891;-0.261152
2015-01-01;2015;Jan;6730.71;4950.02;1072.09;;708.6;708.6;74;16;11;-0.250342;-0.483263;-0.353973
2015-02-01;2015;Feb;9385.42;7036.02;1467.96;;881.446;881.446;75;16;9;0.421413;0.369251;0.243926
2015-03-01;2015;Mar;10881;7627.28;2147.38;;1106.32;1106.32;70;20;10;0.0840344;0.46283;0.255124
